,sex_Female,sex_Male,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,degree_F,degree_M,priors_count,juv_fel_count,juv_misd_count,age,two_year_recid
0,0,1,0,0,0,0,0,1,1,0,0,0,0,69,0
1,0,1,1,0,0,0,0,0,1,0,0,0,0,34,1
2,0,1,1,0,0,0,0,0,1,0,4,0,0,24,1
3,0,1,0,0,0,0,0,1,0,1,0,0,0,44,0
4,0,1,0,0,1,0,0,0,1,0,14,0,0,41,1
5,0,1,0,0,0,0,0,1,1,0,3,0,0,43,0
6,1,0,0,0,1,0,0,0,0,1,0,0,0,39,0
7,0,1,0,0,1,0,0,0,1,0,0,0,0,27,0
8,0,1,1,0,0,0,0,0,0,1,3,0,0,23,1
9,1,0,0,0,1,0,0,0,0,1,0,0,0,37,0
10,0,1,1,0,0,0,0,0,1,0,0,0,0,41,0
11,1,0,0,0,1,0,0,0,1,0,1,0,0,47,1
12,0,1,1,0,0,0,0,0,1,0,7,0,0,31,1
13,0,1,0,0,0,1,0,0,0,1,0,0,0,37,0
14,0,1,1,0,0,0,0,0,1,0,3,0,0,25,0
15,0,1,0,0,1,0,0,0,1,0,6,0,0,31,1
16,0,1,0,0,1,0,0,0,1,0,5,0,0,31,1
17,0,1,1,0,0,0,0,0,1,0,13,0,0,64,1
18,0,1,1,0,0,0,0,0,1,0,1,0,0,21,1
19,0,1,0,0,1,0,0,0,0,1,0,0,0,27,1
20,1,0,0,0,1,0,0,0,1,0,0,0,0,21,0
21,0,1,0,0,0,1,0,0,1,0,1,0,0,24,1
22,0,1,0,0,1,0,0,0,0,1,1,0,0,43,0
23,0,1,0,0,0,0,0,1,0,1,0,0,0,32,0
24,0,1,1,0,0,0,0,0,1,0,8,0,0,27,1
25,0,1,1,0,0,0,0,0,1,0,5,0,0,26,1
26,0,1,1,0,0,0,0,0,1,0,0,0,0,33,1
27,0,1,0,0,1,0,0,0,1,0,9,0,0,30,1
28,0,1,1,0,0,0,0,0,1,0,4,0,0,32,1
29,0,1,0,0,1,0,0,0,1,0,0,0,0,55,0
30,0,1,0,0,0,0,0,1,1,0,7,0,0,49,1
31,1,0,0,0,1,0,0,0,0,1,4,0,0,33,1
32,0,1,0,0,1,0,0,0,0,1,1,0,0,24,1
33,0,1,1,0,0,0,0,0,1,0,21,2,1,34,1
34,0,1,0,0,1,0,0,0,0,1,0,0,0,29,0
35,1,0,1,0,0,0,0,0,1,0,2,0,0,21,0
36,0,1,1,0,0,0,0,0,0,1,2,0,0,51,0
37,0,1,0,0,1,0,0,0,0,1,2,0,0,29,1
38,1,0,1,0,0,0,0,0,1,0,7,0,0,51,0
39,0,1,1,0,0,0,0,0,1,0,0,0,0,29,1
40,0,1,0,0,1,0,0,0,0,1,9,0,0,25,1
41,0,1,1,0,0,0,0,0,1,0,13,1,0,35,1
42,0,1,0,0,1,0,0,0,0,1,0,0,0,49,0
43,0,1,1,0,0,0,0,0,1,0,0,0,0,29,0
44,0,1,0,0,1,0,0,0,1,0,1,0,0,29,1
45,1,0,0,0,0,0,0,1,1,0,0,0,0,28,0
46,0,1,1,0,0,0,0,0,1,0,15,0,0,31,0
47,0,1,1,0,0,0,0,0,1,0,2,0,0,24,1
48,0,1,0,0,0,1,0,0,0,1,0,0,0,30,0
49,0,1,1,0,0,0,0,0,0,1,4,0,0,49,0
50,0,1,0,0,1,0,0,0,1,0,8,0,0,53,0
51,0,1,1,0,0,0,0,0,1,0,5,0,0,35,0
52,0,1,1,0,0,0,0,0,1,0,15,1,1,27,1
53,0,1,0,0,1,0,0,0,0,1,4,0,0,38,1
54,0,1,1,0,0,0,0,0,1,0,1,0,0,22,1
55,0,1,1,0,0,0,0,0,1,0,4,0,0,29,1
56,0,1,0,0,0,1,0,0,0,1,0,0,0,62,0
57,0,1,1,0,0,0,0,0,1,0,6,0,1,27,1
58,0,1,0,0,0,0,0,1,0,1,0,0,0,33,0
59,1,0,1,0,0,0,0,0,0,1,0,0,0,56,0
60,0,1,0,0,0,1,0,0,1,0,6,0,0,45,1
61,0,1,0,0,0,1,0,0,1,0,1,0,0,22,0
62,0,1,1,0,0,0,0,0,0,1,1,0,0,39,0
63,0,1,1,0,0,0,0,0,1,0,5,0,0,29,1
64,0,1,0,0,1,0,0,0,1,0,1,0,0,27,1
65,0,1,1,0,0,0,0,0,1,0,2,0,0,40,0
66,0,1,1,0,0,0,0,0,0,1,1,0,0,22,1
67,0,1,0,0,1,0,0,0,1,0,0,0,0,22,0
68,1,0,1,0,0,0,0,0,1,0,1,0,0,26,1
69,0,1,1,0,0,0,0,0,1,0,0,0,0,32,0
70,0,1,1,0,0,0,0,0,0,1,1,0,0,41,0
71,0,1,1,0,0,0,0,0,0,1,8,0,0,30,1
72,0,1,0,0,0,0,0,1,1,0,0,0,0,50,1
73,0,1,1,0,0,0,0,0,1,0,14,1,6,25,1
74,0,1,0,0,0,0,0,1,1,0,0,0,0,20,1
75,0,1,1,0,0,0,0,0,1,0,2,1,0,22,1
76,1,0,1,0,0,0,0,0,0,1,1,0,0,35,0
77,0,1,1,0,0,0,0,0,1,0,9,0,0,36,1
78,0,1,0,0,1,0,0,0,1,0,7,0,0,26,1
79,0,1,0,0,0,0,0,1,1,0,1,0,0,21,1
80,0,1,0,0,1,0,0,0,1,0,9,0,0,25,1
81,1,0,0,0,1,0,0,0,1,0,0,0,0,20,0
82,0,1,0,0,1,0,0,0,1,0,2,0,0,39,1
